movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Mary Poppins Returns,Fantasy Family Comedy,"london, england based on novel or book nanny magic musical sequel family relationships animated scene female protagonist housekeeper family discipline depression era live action and animation 1930s",Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw
Aquaman,Action Adventure Fantasy,dc comics atlantis half-brother superhero based on comic royalty shark duringcreditsstinger dc extended universe,James Wan,Jason Momoa,Amber Heard,Willem Dafoe
Bumblebee,Action Adventure Science Fiction,technology based on toy transformers robot spin off 1980s autobot,Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.
Welcome to Marwen,Drama Comedy Fantasy,coma rehabilitation based on a true story fictional war mental illness prototype toy comes to life fantasy life toy soldier toy designer 21st century animatronic delusions semi-biographical marwencol,Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger
Second Act,Romance Comedy,mother career woman forty something second chance job hunting facebook career resurrection finance,Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens
Cold War,Comedy Romance,flu,Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza
Holmes & Watson,Mystery Adventure Comedy Crime,england judge titanic albert einstein clue pipe smoking queen victoria victorian era,Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall
Vice,Thriller Science Fiction Action Adventure,artificial intelligence android self-awareness mercenary virtual reality cop resort artificial,Adam McKay,Christian Bale,Amy Adams,Steve Carell
On the Basis of Sex,Drama History,judge 1970s biography supreme court based on a true story lawyer justice harvard law school woman director 1960s supreme court justice,Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux
Destroyer,Thriller Crime Drama Action,gang undercover cop interrogation policewoman teenage daughter lapd downward spiral,Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell
Black Mirror: Bandersnatch,Science Fiction Mystery Drama Thriller TV Movie,video game technology british choice free will british noir tech noir programmer interactive choose your own adventure interactive game video game development reality,David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry
